,Headline,Publish Date & Time,Description
0,"UN says food aid in Ethiopia's war-torn Tigray region will run out Friday as 400,000 people face famine","Fri, 30 Jul 2021 13:47:49 GMT","The UN World Food Programme said it expected to run out of food in the war-torn Ethiopian region of Tigray on Friday, and that hundreds of thousands of people in the area were on the brink of famine.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/AipejpAg4xw"" height=""1"" width=""1"" alt=""""/>"
1,Heat and humidity make 'Tokyo Summer the worst in the history of Olympics',"Fri, 30 Jul 2021 10:45:10 GMT","Japan's summers are hot, humid, and can be deadly. If records are being broken during events at the Olympics, Tokyo 2020 could also emerge with perhaps a record it wouldn't have wanted.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/cFmY-2d2P68"" height=""1"" width=""1"" alt=""""/>"
2,Chinese officials meet with Taliban as US exits Afghanistan,"Thu, 29 Jul 2021 11:03:34 GMT","China's Foreign Minister met with senior leaders of the Taliban in the northern Chinese city of Tianjin on Wednesday in the latest sign of warming ties between Beijing and the resurgent Islamist group.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/fY87r6KZdIs"" height=""1"" width=""1"" alt=""""/>"
3,UK is reopening and scientists are confused to what's happening,"Thu, 29 Jul 2021 11:12:02 GMT","Coronavirus cases in the UK are dropping and whether it's due to the vaccine rollout or something else, scientists are confused. CNN's Phil Black reports.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/VSa8L1LAGXU"" height=""1"" width=""1"" alt=""""/>"
4,Outspoken Chinese billionaire Sun Dawu sentenced to 18 years in prison ,"Thu, 29 Jul 2021 04:48:49 GMT","Billionaire Sun Dawu, a vocal critic of the Chinese government, was sentenced to 18 years in prison on Wednesday for ""picking quarrels and provoking troubles,"" according to an official statement posted by the court.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/GKTDpbdcyGU"" height=""1"" width=""1"" alt=""""/>"
5,International Space Station briefly loses control after new Russian module misfires,"Thu, 29 Jul 2021 22:48:24 GMT","An unusual and potentially dangerous situation unfolded Thursday at the International Space Station, as the newly-docked Russian Nauka module inadvertently fired its thrusters causing a ""tug of war"" with the space station and briefly pushing it out of position, according to NASA flight controllers.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/bPsStFHhvoE"" height=""1"" width=""1"" alt=""""/>"
6,Credit Suisse helped Archegos take 'potentially catastrophic' risks before losing billions when it collapsed,"Thu, 29 Jul 2021 11:10:36 GMT","Credit Suisse investment bankers allowed Archegos Capital to take ""voracious"" and ""potentially catastrophic"" risks that culminated in the US hedge fund's spectacular collapse in March, costing the bank $5.5 billion and causing chaos on Wall Street, according to an investigation published Thursday.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/_0HCQj4oQB0"" height=""1"" width=""1"" alt=""""/>"
7,Amazon sales growth slows as new CEO takes over,"Fri, 30 Jul 2021 10:40:12 GMT","Amazon's final quarter with Jeff Bezos as CEO proved to be a disappointment for Wall Street.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/_ZkpfIh9xC0"" height=""1"" width=""1"" alt=""""/>"
8,Robinhood stumbles in Wall Street debut,"Thu, 29 Jul 2021 20:21:15 GMT","Wall Street didn't exactly roll out the red carpet to welcome Robinhood after its highly anticipated debut.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/vgZo-DfaYXY"" height=""1"" width=""1"" alt=""""/>"
9,"Attacked, rejected and harassed: Asians around the world speak out on workplace discrimination","Wed, 18 Sep 2019 16:44:32 GMT","<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/jO3n4f971-k"" height=""1"" width=""1"" alt=""""/>"
10,US cities are losing 36 million trees a year. Here's why it matters ,"Fri, 12 Jul 2019 15:14:00 GMT","If you're looking for a reason to care about tree loss, the nation's latest heat wave might be it.  Trees can lower summer daytime temperatures by as much as 10 degrees Fahrenheit, according to a recent study.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/KlnsnygiAw8"" height=""1"" width=""1"" alt=""""/>"
11,Miami's Little Haiti wasn't a target for developers. Until the seas started to rise,"Fri, 12 Jul 2019 09:20:40 GMT","<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/pbQjkbD_bFk"" height=""1"" width=""1"" alt=""""/>"
12,How rich people could help save the planet from the climate crisis,"Fri, 06 Jul 2018 03:52:33 GMT","Rich people don't just have bigger bank balances and more lavish lifestyles than the rest of us -- they also have bigger carbon footprints.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/Pa_SMoc1110"" height=""1"" width=""1"" alt=""""/>"
13,The unexpected side effects of tall buildings,"Fri, 23 Jul 2021 13:05:33 GMT","It's three o'clock. You're at work, struggling to focus during the afternoon lull. You gaze out of your office window, hoping for some relief, but instead you feel a headache coming on.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/6Drm9PPhEOo"" height=""1"" width=""1"" alt=""""/>"
14,People in Japan thought skate culture was dangerous. Now it's going mainstream ,"Mon, 19 Jul 2021 10:09:11 GMT","A teenager leaps into the air on his skateboard before thudding to the ground. Nearby, his friend rotates a board on his head while another uses zig-zags down concrete steps.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/fWy1VroaOhU"" height=""1"" width=""1"" alt=""""/>"
15,Researchers identify 14 living descendants of Leonardo da Vinci's family,"Wed, 21 Jul 2021 13:22:23 GMT","Decades-long research into Leonardo da Vinci's purported remains has revealed how many people currently alive can claim to be descendants of the family of the Renaissance genius and ""Mona Lisa"" painter: It's 14.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/RbV_IgR50k0"" height=""1"" width=""1"" alt=""""/>"
16,Dolly Parton recreates iconic Playboy cover,"Fri, 16 Jul 2021 14:59:06 GMT","The celebrity fragrance may be primed for a comeback, with Dolly Parton announcing that her first-ever perfume, ""Dolly -- Scent From Above,"" will launch Monday.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/oOr6UmkQKrM"" height=""1"" width=""1"" alt=""""/>"
17,Lessons from Amazonia's remotest tribes,"Wed, 28 Jul 2021 05:54:30 GMT","When you know Sebastião Salgado studied economics, something clicks in the great photographer's work. All the dots join up: the goldrush in Brazil, the oil fires in Kuwait, the famine in Ethiopia -- economics as an inescapable force, shaping lives and bending the planet to its will.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/ZpZ6w2s9aoE"" height=""1"" width=""1"" alt=""""/>"
18,Delta variant travel restrictions: Tourists wonder where they can go -- and whether they should,"Wed, 28 Jul 2021 04:49:32 GMT","The 2021 summer travel season started out full of hope and promise, but by the day, two words are threatening to dismantle it all.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/CDfjejLhhJ4"" height=""1"" width=""1"" alt=""""/>"
19,New York City restaurant unveils $200 french fries,"Wed, 01 Jan 2020 00:25:54 GMT","Jerome Powell, this story's for you.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/2npsGCsArnU"" height=""1"" width=""1"" alt=""""/>"
20,Meet the scientist trying to travel back in time,"Wed, 21 Jul 2021 10:57:28 GMT","The past, it has been said, is a foreign country. And sometimes it's another country we yearn to visit.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/e5lnga2DXrg"" height=""1"" width=""1"" alt=""""/>"
21,China debuts world's fastest train,"Sun, 18 Jul 2021 14:54:03 GMT","A maglev bullet train that can reach speeds of 600 kilometers per hour (373 miles per hour) has made its debut in Qingdao, China.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/T5yexZI7vYM"" height=""1"" width=""1"" alt=""""/>"
22,The abandoned airport terminal where everything still works,"Fri, 16 Jul 2021 11:48:46 GMT","""The first thing you notice about New Orleans are the burying grounds -- the cemeteries -- one of the best things there are here"" wrote Bob Dylan in his 2004 book ""Chronicles: Volume One.""<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/8lPjrAqb18E"" height=""1"" width=""1"" alt=""""/>"
23,The ghost towns left behind by an oil boom,"Sun, 18 Jul 2021 17:59:48 GMT","Past the small arched door, a narrow spiral stair leads up to the top of the windswept minaret, still standing tall even as almost everything around it has crumbled.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/MDc8Cxf6gUE"" height=""1"" width=""1"" alt=""""/>"
24,"When a woman stole his dog, this man didn't press charges. Instead, he's paying for her drug rehab","Thu, 15 Jul 2021 23:52:11 GMT","Drug addiction sabotaged Brayden Morton for five years. During that span, he attempted to get clean of fentanyl 16 times before he was successful.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/s1cToaYorPA"" height=""1"" width=""1"" alt=""""/>"
25,The assassination of Haiti's president is the latest challenge for CNN Heroes serving their nation,"Sun, 11 Jul 2021 21:17:34 GMT","Before the assassination of Haitian President Jovenel Moise, CNN Heroes and their non-profits already faced significant challenges serving their communities. Yet they have found ways to step up and make Haiti a better place, often in the face of gang violence and a lack of resources.<img src=""http://feeds.feedburner.com/~r/rss/edition_world/~4/MV31-STxA7E"" height=""1"" width=""1"" alt=""""/>"
